name,datei,lat,lon,land_im_namen,liegt_in,region,entscheidung
"Guantanamo Bay, Cuba",harmonics_utide_observations.txt,19.9176,-75.1512,Cuba,US Naval Base Guantanamo Bay,Guantanamo Bay USNB,
"Nieuwe Statenzijl, Dollard, Netherlands",harmonics_utide_observations.txt,53.2316,7.2074,Netherlands,Germany,Niedersachsen,
"Anewa Bay, Bougainville, Solomon Islands",harmonics_utide_observations.txt,-6.1838,155.5436,Solomon Islands,Papua New Guinea,North Solomons,
"St. Stephen, New Brunswick, Canada",harmonics_utide_tidetables.txt,45.1919,-67.2760,Canada,United States of America,Maine,
"Gustavia, France",harmonics_utide_tidetables.txt,17.9023,-62.8535,France,Saint Barthelemy,Saint Barthélemy,
"Saint-Louis, Senegal",harmonics_utide_tidetables.txt,16.0263,-16.5100,Senegal,Mauritania,Trarza,
"Vila Real de Santo António, Portugal",harmonics_utide_tidetables.txt,37.1928,-7.4128,Portugal,Spain,Huelva,
"Bahía Scotia (Isla Laurie, Islas Orcadas del Sur), Antártida Argentina, Argentina",harmonics_utide_tidetables.txt,-60.7333,-44.7333,Argentina,Antarctica,Antarctica,
"Dandong, Liaoning, China",harmonics_utide_tidetables.txt,40.1167,124.4000,China,North Korea,P'yŏngan-bukto,
"Base Frei (Bahía Fildes, Isla Rey Jorge), Chile",harmonics_utide_tidetables.txt,-62.2002,-58.9626,Chile,Antarctica,Antarctica,
"Bahía del Aceite, Islas del Atlántico Sur, Argentina",harmonics_utide_tidetables.txt,-51.4333,-58.2833,Argentina,Falkland Islands,Falkland Islands,
"Bahía San Felipe, Islas del Atlántico Sur, Argentina",harmonics_utide_tidetables.txt,-52.1500,-60.7000,Argentina,Falkland Islands,Falkland Islands,
"Puerto Danson, Islas del Atlántico Sur, Argentina",harmonics_utide_tidetables.txt,-52.1000,-59.6000,Argentina,Falkland Islands,Falkland Islands,
"Puerto Sussex, Islas del Atlántico Sur, Argentina",harmonics_utide_tidetables.txt,-51.6333,-59.0333,Argentina,Falkland Islands,Falkland Islands,
