Ortsname;Bundesstaat/Region;Land;Latitude;Longitude;Zeitzone;Löschgrund
Rotterdam, Netherlands;;Netherlands;51,9167;4,5000;01:00 :Europe/Amsterdam;Exact match: Rotterdam, Netherlands
Saint John, New Brunswick;;New Brunswick;45,2667;-66,0667;-04:00 :America/Halifax;Exact match: Saint John, New Brunswick
Saint John, New Brunswick (2);;New Brunswick;45,2667;-66,0667;-04:00 :America/Halifax;Normalized match: Saint John, New Brunswick
Scheveningen, Netherlands;;Netherlands;52,1000;4,2500;01:00 :Europe/Amsterdam;Exact match: Scheveningen, Netherlands
Schiermonnikoog, Netherlands;;Netherlands;53,4667;6,2000;01:00 :Europe/Amsterdam;Exact match: Schiermonnikoog, Netherlands
Shediac Bay, New Brunswick;;New Brunswick;46,2500;-64,5333;-04:00 :America/Halifax;Exact match: Shediac Bay, New Brunswick
Sheerness, England - READ flaterco.com/pol.html;;England;51,4451;0,7449;0:00 :Europe/London;Exact match: Sheerness, England - READ flaterco.com/pol.html
St. Helier, Jersey, Channel Islands - READ flaterco.com/pol.html;Jersey;Channel Islands;49,1833;-2,1167;0:00 :Europe/London;Exact match: St. Helier, Jersey, Channel Islands - READ flaterco.com/pol.html
St. Mary's, Isles of Scilly, England - READ flaterco.com/pol.html;Isles of Scilly;England;49,9167;-6,3167;0:00 :Europe/London;Exact match: St. Mary's, Isles of Scilly, England - READ flaterco.com/pol.html
Stavenisse, Netherlands;;Netherlands;51,6000;4,0167;01:00 :Europe/Amsterdam;Exact match: Stavenisse, Netherlands
Stornoway, Isle of Lewis, Scotland - READ flaterco.com/pol.html;Isle of Lewis;Scotland;58,2079;-6,3882;0:00 :Europe/London;Exact match: Stornoway, Isle of Lewis, Scotland - READ flaterco.com/pol.html
Terneuzen, Netherlands;;Netherlands;51,3333;3,8333;01:00 :Europe/Amsterdam;Exact match: Terneuzen, Netherlands
Terschelling Noordzee, Netherlands;;Netherlands;53,4500;5,3333;01:00 :Europe/Amsterdam;Exact match: Terschelling Noordzee, Netherlands
Texel Noordzee, Netherlands;;Netherlands;53,1167;4,7333;01:00 :Europe/Amsterdam;Exact match: Texel Noordzee, Netherlands
Tobermory, Island of Mull, Scotland - READ flaterco.com/pol.html;Island of Mull;Scotland;56,6231;-6,0628;0:00 :Europe/London;Exact match: Tobermory, Island of Mull, Scotland - READ flaterco.com/pol.html
Tofino, British Columbia;;British Columbia;49,1500;-125,9167;-08:00 :America/Vancouver;Exact match: Tofino, British Columbia
Tofino, British Columbia (2);;British Columbia;49,1500;-125,9167;-08:00 :America/Vancouver;Normalized match: Tofino, British Columbia
Ullapool, Scotland - READ flaterco.com/pol.html;;Scotland;57,8955;-5,1575;0:00 :Europe/London;Exact match: Ullapool, Scotland - READ flaterco.com/pol.html
Vancouver, British Columbia;;British Columbia;49,2833;-123,1167;-08:00 :America/Vancouver;Exact match: Vancouver, British Columbia
Vancouver, British Columbia (2);;British Columbia;49,2833;-123,1167;-08:00 :America/Vancouver;Normalized match: Vancouver, British Columbia
Vancouver, British Columbia (3);;British Columbia;49,2833;-123,1167;-08:00 :America/Vancouver;Normalized match: Vancouver, British Columbia
Vlieland haven, Netherlands;;Netherlands;53,3000;5,1000;01:00 :Europe/Amsterdam;Exact match: Vlieland haven, Netherlands
Vlissingen, Netherlands;;Netherlands;51,4500;3,6000;01:00 :Europe/Amsterdam;Exact match: Vlissingen, Netherlands
West-Terschelling, Netherlands;;Netherlands;53,3667;5,2167;01:00 :Europe/Amsterdam;Exact match: West-Terschelling, Netherlands
Westkapelle, Netherlands;;Netherlands;51,5167;3,4333;01:00 :Europe/Amsterdam;Exact match: Westkapelle, Netherlands
Weymouth, England - READ flaterco.com/pol.html;;England;50,6077;-2,4486;0:00 :Europe/London;Exact match: Weymouth, England - READ flaterco.com/pol.html
Whitby, England - READ flaterco.com/pol.html;;England;54,4899;-0,6126;0:00 :Europe/London;Exact match: Whitby, England - READ flaterco.com/pol.html
Wick, Scotland - READ flaterco.com/pol.html;;Scotland;58,4413;-3,0849;0:00 :Europe/London;Exact match: Wick, Scotland - READ flaterco.com/pol.html
Wierumergronden, Netherlands;;Netherlands;53,5167;5,9667;01:00 :Europe/Amsterdam;Exact match: Wierumergronden, Netherlands
Workington, England - READ flaterco.com/pol.html;;England;54,6500;-3,5681;0:00 :Europe/London;Exact match: Workington, England - READ flaterco.com/pol.html
Yarmouth, Nova Scotia;;Nova Scotia;43,8333;-66,1167;-04:00 :America/Halifax;Exact match: Yarmouth, Nova Scotia
